Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,26,466,7.6,.542,.686,.161,2.5,8.6,5.4,3.5,1.7,0.4,10.6,13.1,,0.2,0.5,0.8,.080,,-1.8,-1.1,-2.9,-0.1
2,Quincy Acy\acyqu01,PF,27,BRK,23,399,5.6,.483,.788,.308,3.6,19.5,11.5,4.9,0.8,0.8,17.5,15.0,,-0.3,0.3,0.0,-0.001,,-3.7,-0.8,-4.6,-0.3
3,Steven Adams\adamsst01,C,24,OKC,25,814,20.9,.648,.004,.335,16.4,13.9,15.2,4.3,1.8,2.8,13.7,16.3,,2.2,1.2,3.5,.205,,1.8,1.2,3.1,1.0
4,Bam Adebayo\adebaba01,C,20,MIA,19,323,18.0,.689,.000,.588,10.0,17.6,13.9,4.4,2.2,3.1,15.7,14.3,,0.8,0.5,1.3,.188,,-0.3,1.9,1.6,0.3
5,Arron Afflalo\afflaar01,SG,32,ORL,22,300,3.5,.443,.439,.246,1.1,11.6,6.3,4.8,0.2,1.0,11.2,10.3,,-0.2,0.1,-0.1,-0.020,,-4.9,-1.2,-6.2,-0.3
6,Cole Aldrich\aldrico01,C,29,MIN,6,13,11.4,.387,.000,.667,0.0,9.0,4.5,10.3,7.7,0.0,0.0,13.2,,0.0,0.0,0.0,.084,,-2.9,3.1,0.2,0.0
7,LaMarcus Aldridge\aldrila01,PF,32,SAS,28,934,24.6,.561,.091,.299,11.4,16.1,13.8,12.0,0.8,2.8,6.8,28.8,,2.9,1.2,4.1,.212,,3.2,-0.3,2.8,1.1
8,Jarrett Allen\allenja01,C,19,BRK,19,309,14.5,.577,.027,.342,8.7,14.6,11.6,4.3,1.5,4.4,9.7,12.6,,0.5,0.4,0.8,.129,,-1.9,2.3,0.3,0.2
9,Kadeem Allen\allenka01,PG,25,BOS,1,5,-3.3,.266,1.000,2.000,22.6,21.5,22.0,0.0,0.0,0.0,34.7,25.8,,0.0,0.0,0.0,-0.281,,-12.7,-8.0,-20.7,0.0
10,Tony Allen\allento01,SG,36,NOP,22,273,8.9,.514,.132,.231,8.5,10.7,9.6,4.7,1.9,0.9,15.9,19.1,,-0.1,0.2,0.0,.009,,-3.9,-1.7,-5.6,-0.2
11,Al-Farouq Aminu\aminual01,PF,27,POR,15,450,14.5,.636,.600,.122,5.0,21.7,13.4,5.7,1.0,2.4,12.3,13.5,,0.8,0.7,1.5,.157,,0.8,1.6,2.4,0.5
12,Justin Anderson\anderju01,SF,24,PHI,10,126,9.6,.489,.542,.146,8.7,13.9,11.4,3.5,1.1,0.7,7.3,18.3,,0.1,0.1,0.2,.063,,-1.8,-3.0,-4.8,-0.1
13,Kyle Anderson\anderky01,SF,24,SAS,23,631,16.7,.569,.071,.340,5.5,18.8,12.1,16.6,2.2,2.6,14.3,14.9,,1.0,1.1,2.1,.157,,-0.1,3.3,3.2,0.8
14,Ryan Anderson\anderry01,PF,29,HOU,26,745,13.7,.626,.739,.126,5.9,15.4,10.7,3.9,0.6,1.0,9.0,15.5,,1.5,0.7,2.2,.139,,1.8,-1.3,0.5,0.5
15,Ike Anigbogu\anigbik01,C,19,IND,6,17,5.2,.340,.000,.400,13.3,12.8,13.0,0.0,2.9,4.9,25.4,20.4,,-0.1,0.0,0.0,-0.112,,-11.2,-1.1,-12.3,0.0
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,26,982,31.4,.614,.086,.481,7.1,26.2,16.6,22.7,2.4,3.7,10.5,33.1,,4.0,1.4,5.4,.262,,5.8,1.7,7.5,2.4
17,Carmelo Anthony\anthoca01,SF,33,OKC,27,902,14.4,.506,.362,.220,2.6,19.8,10.8,7.8,1.2,2.1,7.7,24.9,,0.5,1.3,1.9,.099,,-1.8,-0.9,-2.8,-0.2
18,OG Anunoby\anunoog01,SF,20,TOR,27,548,11.4,.616,.549,.180,3.9,7.4,5.7,5.7,2.1,0.2,9.5,12.7,,0.9,0.5,1.4,.123,,1.8,0.1,2.0,0.6
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,1,5,-13.2,.000,1.000,.000,0.0,0.0,0.0,25.8,0.0,0.0,0.0,17.7,,0.0,0.0,0.0,-0.363,,-12.5,-9.9,-22.4,0.0
20,Trevor Ariza\arizatr01,SF,32,HOU,25,864,12.6,.600,.747,.118,1.7,12.6,7.3,7.5,2.3,0.5,8.4,13.2,,1.3,1.1,2.4,.133,,1.7,1.1,2.8,1.0
21,Darrell Arthur\arthuda01,PF,29,DEN,4,38,-9.4,.269,.692,.000,2.9,12.0,7.4,3.5,2.6,0.0,35.0,22.6,,-0.3,0.0,-0.3,-0.329,,-12.7,-2.3,-15.0,-0.1
22,Jamel Artis\artisja01,SG,25,ORL,1,1,-40.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,,0.0,0.0,0.0,-1.108,,-37.5,-12.6,-50.0,0.0
23,Omer Asik\asikom01,C,31,NOP,8,72,5.4,.463,.000,.182,4.9,27.0,16.3,3.5,0.0,0.0,14.4,8.4,,0.0,0.0,0.0,.014,,-6.2,-1.7,-7.9,-0.1
24,D.J. Augustin\augusdj01,PG,30,ORL,23,471,15.0,.625,.481,.406,1.2,8.3,4.7,24.0,1.9,0.0,19.1,17.9,,0.8,0.2,1.1,.109,,0.9,-2.3,-1.4,0.1
25,Luke Babbitt\babbilu01,SF,28,ATL,26,490,12.2,.639,.638,.135,0.9,15.6,8.2,6.5,0.7,0.7,8.6,14.8,,0.8,0.1,0.9,.086,,0.4,-2.4,-2.0,0.0
26,Dwayne Bacon\bacondw01,SG,22,CHO,26,438,4.9,.430,.271,.121,0.2,20.2,10.1,6.6,0.9,0.4,11.0,12.5,,-0.4,0.4,0.0,.000,,-5.6,0.6,-5.0,-0.3
27,Ron Baker\bakerro01,SG,24,NYK,10,148,13.6,.611,.545,.773,0.8,4.5,2.7,20.9,4.0,1.9,23.4,11.4,,0.2,0.2,0.4,.127,,0.1,0.7,0.8,0.1
28,Lonzo Ball\balllo01,PG,20,LAL,27,899,11.0,.401,.457,.128,4.3,17.6,11.0,29.4,2.0,2.2,19.1,17.5,,-0.8,1.3,0.5,.026,,-2.4,2.4,0.0,0.4
29,J.J. Barea\bareajo01,PG,33,DAL,29,657,18.6,.556,.475,.186,1.1,14.3,7.4,42.0,1.1,0.1,15.6,26.1,,1.0,0.5,1.5,.111,,3.3,-1.7,1.5,0.6
30,Harrison Barnes\barneha02,PF,25,DAL,29,1014,15.8,.530,.229,.292,3.9,19.9,11.6,10.1,1.0,0.3,9.4,24.8,,0.7,0.9,1.6,.074,,-1.3,-0.6,-1.9,0.0
31,Will Barton\bartowi01,SG,27,DEN,28,881,17.9,.579,.409,.235,3.1,15.9,9.4,17.6,1.8,1.5,11.8,21.1,,1.8,0.7,2.5,.135,,2.5,-0.5,2.0,0.9
32,Nicolas Batum\batumni01,SG,29,CHO,14,424,10.8,.458,.400,.207,2.2,14.0,8.0,23.6,1.6,0.8,16.4,18.0,,-0.2,0.4,0.3,.029,,-1.9,0.8,-1.1,0.1
