Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,James Harden\hardeja01,SG,28,HOU,27,27,962,259,569,.455,115,292,.394,144,277,.520,.556,217,251,.865,15,124,139,251,50,12,117,70,850
2,LeBron James\jamesle01,PF,33,CLE,29,29,1081,314,543,.578,58,141,.411,256,402,.637,.632,128,169,.757,36,206,242,264,42,33,119,49,814
3,DeMarcus Cousins\couside01,C,27,NOP,30,30,1064,271,573,.473,70,194,.361,201,379,.530,.534,175,239,.732,63,304,367,153,45,45,157,110,787
4,Giannis Antetokounmpo\antetgi01,PF,23,MIL,26,26,982,286,522,.548,13,45,.289,273,477,.572,.560,192,251,.765,59,215,274,116,46,41,74,90,777
5,Damian Lillard\lillada01,PG,27,POR,28,28,1039,231,546,.423,80,228,.351,151,318,.475,.496,188,202,.931,27,110,137,170,28,13,82,48,730
6,Kyrie Irving\irvinky01,PG,25,BOS,29,29,933,258,522,.494,68,173,.393,190,349,.544,.559,122,138,.884,14,73,87,142,39,10,66,64,706
7,Bradley Beal\bealbr01,SG,24,WAS,29,29,1019,247,543,.455,64,179,.358,183,364,.503,.514,127,161,.789,25,96,121,100,33,14,70,56,685
8,Victor Oladipo\oladivi01,SG,25,IND,28,28,959,246,520,.473,77,181,.425,169,339,.499,.547,114,146,.781,17,135,152,114,51,29,92,69,683
9,DeMar DeRozan\derozde01,SG,28,TOR,27,27,927,230,471,.488,17,67,.254,213,404,.527,.506,171,212,.807,21,102,123,135,34,4,66,47,648
10,Russell Westbrook\westbru01,PG,29,OKC,28,28,1023,222,578,.384,50,159,.314,172,419,.411,.427,142,203,.700,48,223,271,281,56,3,134,74,636
11,Anthony Davis\davisan02,PF,24,NOP,25,25,883,231,406,.569,15,43,.349,216,363,.595,.587,153,192,.797,59,207,266,64,27,50,56,47,630
12,LaMarcus Aldridge\aldrila01,PF,32,SAS,28,28,934,243,495,.491,16,45,.356,227,450,.504,.507,126,148,.851,96,134,230,60,15,31,41,66,628
13,Kevin Durant\duranke01,SF,29,GSW,24,24,827,234,445,.526,59,145,.407,175,300,.583,.592,100,114,.877,14,155,169,128,17,51,86,54,627
14,Kristaps Porzingis\porzikr01,PF,22,NYK,24,24,764,218,469,.465,47,119,.395,171,350,.489,.515,128,151,.848,28,131,159,30,14,50,55,63,611
15,Devin Booker\bookede01,SG,21,PHO,25,25,851,213,470,.453,62,162,.383,151,308,.490,.519,120,138,.870,14,99,113,102,23,8,79,75,608
16,Stephen Curry\curryst01,PG,29,GSW,23,23,750,192,406,.473,83,218,.381,109,188,.580,.575,139,149,.933,15,102,117,151,40,4,67,57,606
17,Klay Thompson\thompkl01,SG,27,GSW,29,29,975,237,469,.505,101,214,.472,136,255,.533,.613,30,34,.882,13,109,122,74,19,18,50,52,605
18,Karl-Anthony Towns\townska01,C,22,MIN,29,29,1026,222,418,.531,37,102,.363,185,316,.585,.575,111,133,.835,82,261,343,53,24,42,63,104,592
19,Kemba Walker\walkeke02,PG,27,CHO,26,26,919,188,439,.428,63,177,.356,125,262,.477,.500,138,160,.863,14,81,95,156,23,6,54,38,577
20,C.J. McCollum\mccolcj01,SG,26,POR,27,27,989,215,475,.453,66,152,.434,149,323,.461,.522,77,87,.885,15,96,111,74,26,10,56,67,573
21,T.J. Warren\warretj01,SF,24,PHO,30,30,942,229,477,.480,9,48,.188,220,429,.513,.490,93,121,.769,60,108,168,38,25,20,42,70,560
22,Joel Embiid\embiijo01,C,23,PHI,23,23,723,192,392,.490,16,61,.262,176,331,.532,.510,155,192,.807,54,199,253,81,15,44,92,83,555
23,Khris Middleton\middlkh01,SF,26,MIL,27,27,1001,199,426,.467,52,145,.359,147,281,.523,.528,96,107,.897,16,128,144,124,34,2,61,91,546
24,Kevin Love\loveke01,C,29,CLE,28,28,823,174,369,.472,57,144,.396,117,225,.520,.549,139,159,.874,70,223,293,53,19,12,54,62,544
25,Lou Williams\willilo02,SG,31,LAC,27,6,828,179,399,.449,67,168,.399,112,231,.485,.533,119,133,.895,15,61,76,130,25,4,73,36,544
26,Jrue Holiday\holidjr01,PG,27,NOP,30,30,1111,217,448,.484,50,150,.333,167,298,.560,.540,60,73,.822,17,115,132,168,39,14,82,69,544
27,Marc Gasol\gasolma01,C,33,MEM,29,29,1015,186,447,.416,41,122,.336,145,325,.446,.462,129,156,.827,37,210,247,118,17,42,92,69,542
28,Jimmy Butler\butleji01,SG,28,MIN,27,27,1008,191,413,.462,32,89,.360,159,324,.491,.501,121,142,.852,34,117,151,131,49,9,50,38,535
29,Andrew Wiggins\wiggian01,SF,22,MIN,29,29,1069,201,458,.439,39,125,.312,162,333,.486,.481,93,146,.637,32,83,115,52,34,17,54,52,534
30,Harrison Barnes\barneha02,PF,25,DAL,29,29,1014,195,445,.438,33,102,.324,162,343,.472,.475,109,130,.838,37,177,214,59,21,3,52,41,532
31,Paul George\georgpa01,SF,27,OKC,26,26,966,183,448,.408,79,194,.407,104,254,.409,.497,86,104,.827,21,124,145,83,64,14,74,78,531
